year,country,iso3,currency_code,region,decade,gasoline_usd_per_liter,gasoline_usd_per_gallon,gasoline_real_2024usd,diesel_usd_per_liter,diesel_real_2024usd,lpg_usd_per_liter,gasoline_local_currency,gasoline_yoy_pct_change,diesel_yoy_pct_change,price_tier,tax_pct_of_pump_price,pretax_price_usd_ltr,subsidy_flag,subsidy_regime,is_oil_producer,crude_oil_usd_per_barrel,crude_oil_usd_per_liter,refinery_margin_usd_ltr,oil_price_shock_idx,us_cpi,inflation_deflator_2024
1978,Nigeria,NGA,NGN,Africa,1970s,0.0742,0.2809,0.3573,0.0597,0.2875,0.0362,107.59,10.58,8.55,Very Low (<$0.30),0.0,0.0742,1,heavy,1,14.02,0.0882,-0.014,1.0,65.2,4.816
1979,Nigeria,NGA,NGN,Africa,1970s,0.0797,0.3017,0.3447,0.0674,0.2915,0.0403,115.565,7.41,12.9,Very Low (<$0.30),0.0,0.0797,1,heavy,1,31.61,0.1988,-0.1191,1.3,72.6,4.3251
1980,Nigeria,NGA,NGN,Africa,1980s,0.0906,0.343,0.3452,0.075,0.2858,0.045,131.37,13.68,11.28,Very Low (<$0.30),0.0,0.0906,1,heavy,1,36.83,0.2317,-0.1411,1.25,82.4,3.8107
1981,Nigeria,NGA,NGN,Africa,1980s,0.0872,0.3301,0.3012,0.0724,0.2501,0.0433,126.44,-3.75,-3.47,Very Low (<$0.30),0.0,0.0872,1,heavy,1,35.75,0.2249,-0.1377,1.0,90.9,3.4543
1982,Nigeria,NGA,NGN,Africa,1980s,0.0831,0.3146,0.2704,0.0681,0.2216,0.042,120.495,-4.7,-5.94,Very Low (<$0.30),0.0,0.0831,1,heavy,1,31.82,0.2001,-0.117,1.0,96.5,3.2539
1983,Nigeria,NGA,NGN,Africa,1980s,0.084,0.318,0.2648,0.0694,0.2188,0.0418,121.8,1.08,1.91,Very Low (<$0.30),0.0,0.084,1,heavy,1,29.55,0.1859,-0.1019,1.0,99.6,3.1526
1984,Nigeria,NGA,NGN,Africa,1980s,0.0821,0.3108,0.2481,0.0663,0.2004,0.0412,119.045,-2.26,-4.47,Very Low (<$0.30),0.0,0.0821,1,heavy,1,28.78,0.181,-0.0989,1.0,103.9,3.0221
1985,Nigeria,NGA,NGN,Africa,1980s,0.0821,0.3108,0.2396,0.068,0.1984,0.0412,119.045,0.0,2.56,Very Low (<$0.30),0.0,0.0821,1,heavy,1,27.56,0.1733,-0.0912,1.0,107.6,2.9182
1986,Nigeria,NGA,NGN,Africa,1980s,0.0802,0.3036,0.2298,0.0647,0.1854,0.0403,116.29,-2.31,-4.85,Very Low (<$0.30),0.0,0.0802,1,heavy,1,14.43,0.0908,-0.0106,0.75,109.6,2.865
1987,Nigeria,NGA,NGN,Africa,1980s,0.0839,0.3176,0.2319,0.0697,0.1927,0.0415,121.655,4.61,7.73,Very Low (<$0.30),0.0,0.0839,1,heavy,1,18.44,0.116,-0.0321,1.0,113.6,2.7641
1988,Nigeria,NGA,NGN,Africa,1980s,0.0837,0.3168,0.2222,0.069,0.1831,0.0434,121.365,-0.24,-1.0,Very Low (<$0.30),0.0,0.0837,1,heavy,1,14.92,0.0938,-0.0101,1.0,118.3,2.6543
1989,Nigeria,NGA,NGN,Africa,1980s,0.0883,0.3343,0.2236,0.0735,0.1861,0.0431,128.035,5.5,6.52,Very Low (<$0.30),0.0,0.0883,1,heavy,1,18.33,0.1153,-0.027,1.0,124.0,2.5323
1990,Nigeria,NGA,NGN,Africa,1990s,0.0883,0.3343,0.2121,0.0725,0.1742,0.0452,128.035,0.0,-1.36,Very Low (<$0.30),0.0,0.0883,1,heavy,1,23.73,0.1493,-0.061,1.0,130.7,2.4024
1991,Nigeria,NGA,NGN,Africa,1990s,0.0913,0.3456,0.2105,0.0747,0.1722,0.045,132.385,3.4,3.03,Very Low (<$0.30),0.0,0.0913,1,heavy,1,20.2,0.1271,-0.0358,1.0,136.2,2.3054
1992,Nigeria,NGA,NGN,Africa,1990s,0.0854,0.3233,0.1911,0.0692,0.1549,0.0431,123.83,-6.46,-7.36,Very Low (<$0.30),0.0,0.0854,1,heavy,1,19.32,0.1215,-0.0361,1.0,140.3,2.2381
1993,Nigeria,NGA,NGN,Africa,1990s,0.0858,0.3248,0.1864,0.0711,0.1545,0.0414,124.41,0.47,2.75,Very Low (<$0.30),0.0,0.0858,1,heavy,1,16.97,0.1067,-0.0209,1.0,144.5,2.173
1994,Nigeria,NGA,NGN,Africa,1990s,0.085,0.3218,0.1801,0.0693,0.1468,0.0425,123.25,-0.93,-2.53,Very Low (<$0.30),0.0,0.085,1,heavy,1,15.82,0.0995,-0.0145,1.0,148.2,2.1188
1995,Nigeria,NGA,NGN,Africa,1990s,0.0833,0.3153,0.1716,0.0681,0.1403,0.0423,120.785,-2.0,-1.73,Very Low (<$0.30),0.0,0.0833,1,heavy,1,17.02,0.1071,-0.0238,1.0,152.4,2.0604
1996,Nigeria,NGA,NGN,Africa,1990s,0.0885,0.335,0.1771,0.0739,0.1479,0.0452,128.325,6.24,8.52,Very Low (<$0.30),0.0,0.0885,1,heavy,1,22.12,0.1391,-0.0506,1.0,156.9,2.0013
1997,Nigeria,NGA,NGN,Africa,1990s,0.0959,0.363,0.1876,0.0803,0.1571,0.0478,139.055,8.36,8.66,Very Low (<$0.30),0.0,0.0959,1,heavy,1,19.09,0.1201,-0.0242,1.0,160.5,1.9564
1998,Nigeria,NGA,NGN,Africa,1990s,0.1042,0.3944,0.2007,0.0845,0.1628,0.0512,151.09,8.65,5.23,Very Low (<$0.30),0.0,0.1042,1,heavy,1,13.07,0.0822,0.022,0.82,163.0,1.9264
1999,Nigeria,NGA,NGN,Africa,1990s,0.1083,0.41,0.2041,0.09,0.1696,0.0533,157.035,3.93,6.51,Very Low (<$0.30),0.0,0.1083,1,heavy,1,17.97,0.113,-0.0047,1.0,166.6,1.8848
2000,Nigeria,NGA,NGN,Africa,2000s,0.1219,0.4614,0.2223,0.1018,0.1856,0.0593,176.755,12.56,13.11,Very Low (<$0.30),0.0,0.1219,1,heavy,1,30.38,0.1911,-0.0692,1.0,172.2,1.8235
2001,Nigeria,NGA,NGN,Africa,2000s,0.1302,0.4929,0.2308,0.1081,0.1917,0.0679,188.79,6.81,6.19,Very Low (<$0.30),0.0,0.1302,1,heavy,1,25.93,0.1631,-0.0329,1.0,177.1,1.773
2002,Nigeria,NGA,NGN,Africa,2000s,0.1403,0.5311,0.2449,0.1139,0.1988,0.0727,203.435,7.76,5.37,Very Low (<$0.30),0.0,0.1403,1,heavy,1,26.15,0.1645,-0.0242,1.0,179.9,1.7454
2003,Nigeria,NGA,NGN,Africa,2000s,0.1497,0.5667,0.2555,0.1215,0.2073,0.0732,217.065,6.7,6.67,Very Low (<$0.30),0.0,0.1497,1,heavy,1,31.07,0.1954,-0.0457,1.0,184.0,1.7065
2004,Nigeria,NGA,NGN,Africa,2000s,0.1646,0.6231,0.2736,0.1346,0.2237,0.0855,238.67,9.95,10.78,Very Low (<$0.30),0.0,0.1646,1,heavy,1,41.49,0.261,-0.0964,1.0,188.9,1.6623
2005,Nigeria,NGA,NGN,Africa,2000s,0.1828,0.692,0.2939,0.1473,0.2368,0.0911,265.06,11.06,9.44,Very Low (<$0.30),0.0,0.1828,1,heavy,1,56.59,0.3559,-0.1731,1.0,195.3,1.6078
2006,Nigeria,NGA,NGN,Africa,2000s,0.2234,0.8457,0.348,0.1832,0.2853,0.1101,323.93,22.21,24.37,Very Low (<$0.30),0.0,0.2234,1,heavy,1,66.02,0.4153,-0.1919,1.0,201.6,1.5575
2007,Nigeria,NGA,NGN,Africa,2000s,0.275,1.041,0.4165,0.2266,0.3432,0.1415,398.75,23.1,23.69,Very Low (<$0.30),0.0,0.275,1,heavy,1,72.34,0.455,-0.18,1.0,207.3,1.5147
2008,Nigeria,NGA,NGN,Africa,2000s,0.349,1.3211,0.509,0.2835,0.4135,0.171,506.05,26.91,25.11,Low ($0.30–$0.70),0.0,0.349,1,heavy,1,99.67,0.6269,-0.2779,1.28,215.3,1.4584
2009,Nigeria,NGA,NGN,Africa,2000s,0.3839,1.4532,0.562,0.3219,0.4712,0.1961,556.655,10.0,13.54,Low ($0.30–$0.70),0.0,0.3839,1,heavy,1,61.74,0.3883,-0.0044,0.78,214.5,1.4639
2010,Nigeria,NGA,NGN,Africa,2010s,0.3847,1.4562,0.5539,0.3106,0.4472,0.1903,557.815,0.21,-3.51,Low ($0.30–$0.70),0.0,0.3847,1,heavy,1,79.61,0.5007,-0.116,1.0,218.1,1.4397
2011,Nigeria,NGA,NGN,Africa,2010s,0.3702,1.4014,0.5169,0.3075,0.4293,0.1896,536.79,-3.77,-1.0,Low ($0.30–$0.70),0.0,0.3702,1,heavy,1,111.26,0.6998,-0.3296,1.0,224.9,1.3962
2012,Nigeria,NGA,NGN,Africa,2010s,0.3476,1.3158,0.4754,0.2845,0.3891,0.1745,504.02,-6.1,-7.48,Low ($0.30–$0.70),0.0,0.3476,1,heavy,1,112.01,0.7045,-0.3569,1.0,229.6,1.3676
2013,Nigeria,NGA,NGN,Africa,2010s,0.3357,1.2708,0.4524,0.2778,0.3744,0.1642,486.765,-3.42,-2.36,Low ($0.30–$0.70),0.0,0.3357,1,heavy,1,108.66,0.6835,-0.3478,1.0,233.0,1.3476
2014,Nigeria,NGA,NGN,Africa,2010s,0.3182,1.2045,0.4221,0.2612,0.3465,0.1658,461.39,-5.21,-5.98,Low ($0.30–$0.70),0.0,0.3182,1,heavy,1,98.97,0.6225,-0.3043,1.0,236.7,1.3266
2015,Nigeria,NGA,NGN,Africa,2010s,0.3108,1.1765,0.4118,0.2569,0.3404,0.1542,450.66,-2.33,-1.65,Low ($0.30–$0.70),0.0,0.3108,1,heavy,1,52.39,0.3295,-0.0187,1.0,237.0,1.3249
2016,Nigeria,NGA,NGN,Africa,2010s,0.3083,1.167,0.4034,0.2594,0.3394,0.1533,447.035,-0.8,0.97,Low ($0.30–$0.70),0.0,0.3083,1,heavy,1,43.74,0.2751,0.0332,1.0,240.0,1.3083
2017,Nigeria,NGA,NGN,Africa,2010s,0.3111,1.1776,0.3986,0.2549,0.3266,0.1556,451.095,0.91,-1.73,Low ($0.30–$0.70),0.0,0.3111,1,heavy,1,54.25,0.3412,-0.0301,1.0,245.1,1.2811
2018,Nigeria,NGA,NGN,Africa,2010s,0.3199,1.211,0.4,0.2624,0.3281,0.1578,463.855,2.83,2.94,Low ($0.30–$0.70),0.0,0.3199,1,heavy,1,71.34,0.4487,-0.1288,1.0,251.1,1.2505
2019,Nigeria,NGA,NGN,Africa,2010s,0.328,1.2416,0.4028,0.2726,0.3348,0.1671,475.6,2.53,3.89,Low ($0.30–$0.70),0.0,0.328,1,heavy,1,64.37,0.4049,-0.0769,1.0,255.7,1.228
2020,Nigeria,NGA,NGN,Africa,2020s,0.3422,1.2954,0.4152,0.2768,0.3358,0.1752,496.19,4.33,1.54,Low ($0.30–$0.70),0.0,0.3422,1,heavy,1,41.84,0.2632,0.079,0.72,258.8,1.2133
2021,Nigeria,NGA,NGN,Africa,2020s,0.3711,1.4048,0.43,0.3042,0.3525,0.1857,538.095,8.45,9.9,Low ($0.30–$0.70),0.0,0.3711,1,heavy,1,70.86,0.4457,-0.0746,1.0,271.0,1.1587
2022,Nigeria,NGA,NGN,Africa,2020s,0.3861,1.4615,0.4142,0.3156,0.3386,0.1882,559.845,4.04,3.75,Low ($0.30–$0.70),0.0,0.3861,1,heavy,1,101.32,0.6373,-0.2512,1.3,292.7,1.0728
2023,Nigeria,NGA,NGN,Africa,2020s,0.4797,1.8159,0.4943,0.4,0.4122,0.2431,695.565,24.24,26.74,Low ($0.30–$0.70),0.0,0.4797,1,heavy,1,82.49,0.5188,-0.0391,1.0,304.7,1.0305
2024,Nigeria,NGA,NGN,Africa,2020s,0.4825,1.8265,0.4825,0.4101,0.4101,0.2452,699.625,0.58,2.52,Low ($0.30–$0.70),0.0,0.4825,1,heavy,1,80.0,0.5032,-0.0207,1.0,314.0,1.0
1924,Norway,NOR,NOK,Europe,1920s,0.0299,0.1132,0.549,0.0319,0.5858,0.0188,0.3229,,,Very Low (<$0.30),24.8,0.0225,0,none,1,1.43,0.009,0.0209,1.0,17.1,18.3626
1925,Norway,NOR,NOK,Europe,1920s,0.0304,0.1151,0.5455,0.0322,0.5778,0.019,0.3283,1.67,0.94,Very Low (<$0.30),24.8,0.0229,0,none,1,1.68,0.0106,0.0198,1.0,17.5,17.9429
1926,Norway,NOR,NOK,Europe,1920s,0.0301,0.1139,0.534,0.0316,0.5606,0.0196,0.3251,-0.99,-1.86,Very Low (<$0.30),24.8,0.0226,0,none,1,1.88,0.0118,0.0183,1.0,17.7,17.7401
1927,Norway,NOR,NOK,Europe,1920s,0.03,0.1136,0.5414,0.0307,0.554,0.0182,0.324,-0.33,-2.85,Very Low (<$0.30),24.8,0.0226,0,none,1,1.3,0.0082,0.0218,1.0,17.4,18.046
1928,Norway,NOR,NOK,Europe,1920s,0.0316,0.1196,0.5803,0.0335,0.6151,0.0189,0.3413,5.33,9.12,Very Low (<$0.30),24.8,0.0238,0,none,1,1.17,0.0074,0.0242,1.0,17.1,18.3626
1929,Norway,NOR,NOK,Europe,1920s,0.0307,0.1162,0.5637,0.0329,0.6041,0.0194,0.3316,-2.85,-1.79,Very Low (<$0.30),24.8,0.0231,0,none,1,1.27,0.008,0.0227,1.0,17.1,18.3626
1930,Norway,NOR,NOK,Europe,1930s,0.0322,0.1219,0.6054,0.0346,0.6506,0.0203,0.3478,4.89,5.17,Very Low (<$0.30),24.8,0.0242,0,none,1,1.19,0.0075,0.0247,1.0,16.7,18.8024
1931,Norway,NOR,NOK,Europe,1930s,0.0326,0.1234,0.6734,0.0343,0.7086,0.02,0.3521,1.24,-0.87,Very Low (<$0.30),24.8,0.0245,0,none,1,0.65,0.0041,0.0285,1.0,15.2,20.6579
1932,Norway,NOR,NOK,Europe,1930s,0.033,0.1249,0.7564,0.0362,0.8297,0.0204,0.3564,1.23,5.54,Very Low (<$0.30),24.8,0.0248,0,none,1,0.87,0.0055,0.0275,1.0,13.7,22.9197
1933,Norway,NOR,NOK,Europe,1930s,0.0336,0.1272,0.8116,0.0367,0.8864,0.0207,0.3629,1.82,1.38,Very Low (<$0.30),24.8,0.0253,0,none,1,0.67,0.0042,0.0294,1.0,13.0,24.1538
1934,Norway,NOR,NOK,Europe,1930s,0.0334,0.1264,0.7827,0.0353,0.8272,0.0209,0.3607,-0.6,-3.81,Very Low (<$0.30),24.8,0.0251,0,none,1,1.0,0.0063,0.0271,1.0,13.4,23.4328
1935,Norway,NOR,NOK,Europe,1930s,0.035,0.1325,0.8022,0.037,0.848,0.0215,0.378,4.79,4.82,Very Low (<$0.30),24.8,0.0263,0,none,1,0.97,0.0061,0.0289,1.0,13.7,22.9197
1936,Norway,NOR,NOK,Europe,1930s,0.0348,0.1317,0.7861,0.0374,0.8449,0.0219,0.3758,-0.57,1.08,Very Low (<$0.30),24.8,0.0262,0,none,1,1.09,0.0069,0.0279,1.0,13.9,22.5899
1937,Norway,NOR,NOK,Europe,1930s,0.0369,0.1397,0.8046,0.039,0.8504,0.0232,0.3985,6.03,4.28,Very Low (<$0.30),24.8,0.0277,0,none,1,1.18,0.0074,0.0295,1.0,14.4,21.8056
1938,Norway,NOR,NOK,Europe,1930s,0.0362,0.137,0.8062,0.0385,0.8574,0.0224,0.391,-1.9,-1.28,Very Low (<$0.30),24.8,0.0272,0,none,1,1.13,0.0071,0.0291,1.0,14.1,22.2695
1939,Norway,NOR,NOK,Europe,1930s,0.0378,0.1431,0.8539,0.0408,0.9217,0.0233,0.4082,4.42,5.97,Very Low (<$0.30),24.8,0.0284,0,none,1,1.02,0.0064,0.0314,1.0,13.9,22.5899
1940,Norway,NOR,NOK,Europe,1940s,0.0387,0.1465,0.868,0.0417,0.9353,0.0245,0.418,2.38,2.21,Very Low (<$0.30),24.8,0.0291,0,none,1,1.02,0.0064,0.0323,1.0,14.0,22.4286
1941,Norway,NOR,NOK,Europe,1940s,0.0405,0.1533,0.8651,0.0425,0.9078,0.0253,0.4374,4.65,1.92,Very Low (<$0.30),24.8,0.0305,0,none,1,1.14,0.0072,0.0333,1.0,14.7,21.3605
1942,Norway,NOR,NOK,Europe,1940s,0.0415,0.1571,0.7994,0.0437,0.8418,0.0266,0.4482,2.47,2.82,Very Low (<$0.30),24.8,0.0312,0,none,1,1.19,0.0075,0.034,1.0,16.3,19.2638
1943,Norway,NOR,NOK,Europe,1940s,0.0441,0.1669,0.8004,0.0463,0.8404,0.0271,0.4763,6.27,5.95,Very Low (<$0.30),24.8,0.0332,0,none,1,1.2,0.0075,0.0366,1.0,17.3,18.1503
1944,Norway,NOR,NOK,Europe,1940s,0.0441,0.1669,0.7868,0.0467,0.8332,0.0274,0.4763,0.0,0.86,Very Low (<$0.30),24.8,0.0332,0,none,1,1.21,0.0076,0.0365,1.0,17.6,17.8409
1945,Norway,NOR,NOK,Europe,1940s,0.0488,0.1847,0.8513,0.0518,0.9036,0.03,0.527,10.66,10.92,Very Low (<$0.30),24.8,0.0367,0,none,1,1.22,0.0077,0.0411,1.0,18.0,17.4444
1946,Norway,NOR,NOK,Europe,1940s,0.05,0.1893,0.8051,0.0527,0.8486,0.0311,0.54,2.46,1.74,Very Low (<$0.30),24.8,0.0376,0,none,1,1.41,0.0089,0.0411,1.0,19.5,16.1026
1947,Norway,NOR,NOK,Europe,1940s,0.0525,0.1987,0.7392,0.0563,0.7927,0.0329,0.567,5.0,6.83,Very Low (<$0.30),24.8,0.0395,0,none,1,1.93,0.0121,0.0404,1.0,22.3,14.0807
1948,Norway,NOR,NOK,Europe,1940s,0.0539,0.204,0.7023,0.0572,0.7453,0.0333,0.5821,2.67,1.6,Very Low (<$0.30),24.8,0.0405,0,none,1,2.6,0.0164,0.0375,1.0,24.1,13.029
1949,Norway,NOR,NOK,Europe,1940s,0.0572,0.2165,0.7547,0.0607,0.8008,0.036,0.6178,6.12,6.12,Very Low (<$0.30),24.8,0.043,0,none,1,2.54,0.016,0.0412,1.0,23.8,13.1933
1950,Norway,NOR,NOK,Europe,1950s,0.0601,0.2275,0.783,0.0618,0.8052,0.0378,0.6491,5.07,1.81,Very Low (<$0.30),37.2,0.0377,0,none,1,2.51,0.0158,0.0443,1.0,24.1,13.029
1951,Norway,NOR,NOK,Europe,1950s,0.0611,0.2313,0.7379,0.0635,0.7669,0.0383,0.6599,1.66,2.75,Very Low (<$0.30),37.2,0.0384,0,none,1,2.53,0.0159,0.0452,1.0,26.0,12.0769
1952,Norway,NOR,NOK,Europe,1950s,0.065,0.2461,0.7702,0.0682,0.8081,0.0397,0.702,6.38,7.4,Very Low (<$0.30),37.2,0.0408,0,none,1,2.53,0.0159,0.0491,1.0,26.5,11.8491
1953,Norway,NOR,NOK,Europe,1950s,0.0672,0.2544,0.7903,0.0716,0.842,0.0409,0.7258,3.38,4.99,Very Low (<$0.30),37.2,0.0422,0,none,1,2.68,0.0169,0.0503,1.0,26.7,11.7603
1954,Norway,NOR,NOK,Europe,1950s,0.0693,0.2623,0.8089,0.0725,0.8463,0.0431,0.7484,3.12,1.26,Very Low (<$0.30),37.2,0.0435,0,none,1,2.78,0.0175,0.0518,1.0,26.9,11.6729
1955,Norway,NOR,NOK,Europe,1950s,0.0717,0.2714,0.8401,0.0778,0.9115,0.0445,0.7744,3.46,7.31,Very Low (<$0.30),37.2,0.045,0,none,1,2.77,0.0174,0.0543,1.0,26.8,11.7164
1956,Norway,NOR,NOK,Europe,1950s,0.0726,0.2748,0.8381,0.0771,0.8901,0.0454,0.7841,1.26,-0.9,Very Low (<$0.30),37.2,0.0456,0,none,1,2.79,0.0175,0.0551,1.0,27.2,11.5441
1957,Norway,NOR,NOK,Europe,1950s,0.0773,0.2926,0.8638,0.0823,0.9197,0.0485,0.8348,6.47,6.74,Very Low (<$0.30),37.2,0.0485,0,none,1,3.09,0.0194,0.0579,1.0,28.1,11.1744
1958,Norway,NOR,NOK,Europe,1950s,0.0776,0.2937,0.8431,0.0824,0.8953,0.0479,0.8381,0.39,0.12,Very Low (<$0.30),37.2,0.0487,0,none,1,3.01,0.0189,0.0587,1.0,28.9,10.8651
1959,Norway,NOR,NOK,Europe,1950s,0.0802,0.3036,0.8654,0.0856,0.9237,0.0503,0.8662,3.35,3.88,Very Low (<$0.30),37.2,0.0504,0,none,1,2.9,0.0182,0.062,1.0,29.1,10.7904
1960,Norway,NOR,NOK,Europe,1960s,0.0854,0.3233,0.9059,0.0918,0.9738,0.0514,0.9223,6.48,7.24,Very Low (<$0.30),37.2,0.0536,0,none,1,2.88,0.0181,0.0673,1.0,29.6,10.6081
1961,Norway,NOR,NOK,Europe,1960s,0.0858,0.3248,0.901,0.0902,0.9473,0.052,0.9266,0.47,-1.74,Very Low (<$0.30),37.2,0.0539,0,none,1,2.89,0.0182,0.0676,1.0,29.9,10.5017
1962,Norway,NOR,NOK,Europe,1960s,0.0902,0.3414,0.9378,0.0979,1.0179,0.0554,0.9742,5.13,8.54,Very Low (<$0.30),37.2,0.0566,0,none,1,2.9,0.0182,0.072,1.0,30.2,10.3974
1963,Norway,NOR,NOK,Europe,1960s,0.0921,0.3486,0.9451,0.0965,0.9902,0.0551,0.9947,2.11,-1.43,Very Low (<$0.30),37.2,0.0578,0,none,1,2.89,0.0182,0.0739,1.0,30.6,10.2614
1964,Norway,NOR,NOK,Europe,1960s,0.0941,0.3562,0.9531,0.1005,1.018,0.0609,1.0163,2.17,4.15,Very Low (<$0.30),37.2,0.0591,0,none,1,2.88,0.0181,0.076,1.0,31.0,10.129
1965,Norway,NOR,NOK,Europe,1960s,0.0997,0.3774,0.9938,0.1054,1.0507,0.0628,1.0768,5.95,4.88,Very Low (<$0.30),37.2,0.0626,0,none,1,2.86,0.018,0.0817,1.0,31.5,9.9683
1966,Norway,NOR,NOK,Europe,1960s,0.1036,0.3922,1.004,0.1095,1.0612,0.0649,1.1189,3.91,3.89,Very Low (<$0.30),37.2,0.0651,0,none,1,2.88,0.0181,0.0855,1.0,32.4,9.6914
1967,Norway,NOR,NOK,Europe,1960s,0.1058,0.4005,0.9946,0.1133,1.0652,0.0655,1.1426,2.12,3.47,Very Low (<$0.30),37.2,0.0664,0,none,1,2.92,0.0184,0.0874,1.0,33.4,9.4012
1968,Norway,NOR,NOK,Europe,1960s,0.1089,0.4122,0.9826,0.1158,1.0449,0.0689,1.1761,2.93,2.21,Very Low (<$0.30),37.2,0.0684,0,none,1,2.94,0.0185,0.0904,1.0,34.8,9.023
1969,Norway,NOR,NOK,Europe,1960s,0.1119,0.4236,0.9574,0.1214,1.0387,0.0687,1.2085,2.75,4.84,Very Low (<$0.30),37.2,0.0703,0,none,1,3.09,0.0194,0.0925,1.0,36.7,8.5559
1970,Norway,NOR,NOK,Europe,1970s,0.1169,0.4425,0.946,0.123,0.9954,0.0732,1.2625,4.47,1.32,Very Low (<$0.30),49.6,0.0589,0,none,1,3.18,0.02,0.0969,1.0,38.8,8.0928
1971,Norway,NOR,NOK,Europe,1970s,0.1249,0.4728,0.9684,0.1335,1.035,0.0779,1.3489,6.84,8.54,Very Low (<$0.30),49.6,0.0629,0,none,1,3.6,0.0226,0.1023,1.0,40.5,7.7531
1972,Norway,NOR,NOK,Europe,1970s,0.1402,0.5307,1.0532,0.1499,1.126,0.0881,1.5142,12.25,12.28,Very Low (<$0.30),49.6,0.0707,0,none,1,3.6,0.0226,0.1176,1.0,41.8,7.512
1973,Norway,NOR,NOK,Europe,1970s,0.1616,0.6117,1.1428,0.1767,1.2496,0.0974,1.7453,15.26,17.88,Very Low (<$0.30),49.6,0.0814,0,none,1,4.75,0.0299,0.1317,1.2,44.4,7.0721
1974,Norway,NOR,NOK,Europe,1970s,0.1779,0.6734,1.1331,0.1931,1.2299,0.1076,1.9213,10.09,9.28,Very Low (<$0.30),49.6,0.0897,0,none,1,9.35,0.0588,0.1191,1.55,49.3,6.3692
1975,Norway,NOR,NOK,Europe,1970s,0.2006,0.7594,1.1708,0.2149,1.2542,0.1211,2.1665,12.76,11.29,Very Low (<$0.30),49.6,0.1011,0,none,1,10.72,0.0674,0.1332,1.0,53.8,5.8364
1976,Norway,NOR,NOK,Europe,1970s,0.2364,0.8949,1.3046,0.2569,1.4177,0.1418,2.5531,17.85,19.54,Very Low (<$0.30),49.6,0.1191,0,none,1,11.51,0.0724,0.164,1.0,56.9,5.5185
1977,Norway,NOR,NOK,Europe,1970s,0.2908,1.1008,1.5068,0.3122,1.6177,0.1757,3.1406,23.01,21.53,Very Low (<$0.30),49.6,0.1466,0,none,1,13.92,0.0876,0.2032,1.0,60.6,5.1815
1978,Norway,NOR,NOK,Europe,1970s,0.3367,1.2745,1.6215,0.3527,1.6986,0.2048,3.6364,15.78,12.97,Low ($0.30–$0.70),49.6,0.1697,0,none,1,14.02,0.0882,0.2485,1.0,65.2,4.816
1979,Norway,NOR,NOK,Europe,1970s,0.4083,1.5456,1.7659,0.435,1.8814,0.2524,4.4096,21.27,23.33,Low ($0.30–$0.70),49.6,0.2058,0,none,1,31.61,0.1988,0.2095,1.3,72.6,4.3251
1980,Norway,NOR,NOK,Europe,1980s,0.4833,1.8295,1.8417,0.5218,1.9884,0.2993,5.2196,18.37,19.95,Low ($0.30–$0.70),62.0,0.1837,0,none,1,36.83,0.2317,0.2516,1.25,82.4,3.8107
1981,Norway,NOR,NOK,Europe,1980s,0.5064,1.9169,1.7493,0.5326,1.8398,0.3191,5.4691,4.78,2.07,Low ($0.30–$0.70),62.1,0.1919,0,none,1,35.75,0.2249,0.2815,1.0,90.9,3.4543
1982,Norway,NOR,NOK,Europe,1980s,0.522,1.976,1.6985,0.566,1.8417,0.3235,5.6376,3.08,6.27,Low ($0.30–$0.70),62.2,0.1973,0,none,1,31.82,0.2001,0.3219,1.0,96.5,3.2539
1983,Norway,NOR,NOK,Europe,1980s,0.5546,2.0994,1.7484,0.5911,1.8635,0.3471,5.9897,6.25,4.43,Low ($0.30–$0.70),62.3,0.2091,0,none,1,29.55,0.1859,0.3687,1.0,99.6,3.1526
1984,Norway,NOR,NOK,Europe,1980s,0.5738,2.1721,1.7341,0.6025,1.8208,0.3701,6.197,3.46,1.93,Low ($0.30–$0.70),62.4,0.2157,0,none,1,28.78,0.181,0.3928,1.0,103.9,3.0221
1985,Norway,NOR,NOK,Europe,1980s,0.6001,2.2716,1.7512,0.6405,1.8691,0.3612,6.4811,4.58,6.31,Low ($0.30–$0.70),62.5,0.225,0,none,1,27.56,0.1733,0.4268,1.0,107.6,2.9182
1986,Norway,NOR,NOK,Europe,1980s,0.6077,2.3004,1.741,0.629,1.8021,0.3812,6.5632,1.27,-1.8,Low ($0.30–$0.70),62.6,0.2273,0,none,1,14.43,0.0908,0.5169,0.75,109.6,2.865
1987,Norway,NOR,NOK,Europe,1980s,0.6349,2.4034,1.7549,0.666,1.8409,0.3813,6.8569,4.48,5.88,Low ($0.30–$0.70),62.7,0.2368,0,none,1,18.44,0.116,0.5189,1.0,113.6,2.7641
1988,Norway,NOR,NOK,Europe,1980s,0.6679,2.5283,1.7728,0.6969,1.8498,0.4156,7.2133,5.2,4.64,Low ($0.30–$0.70),62.7,0.2491,0,none,1,14.92,0.0938,0.5741,1.0,118.3,2.6543
1989,Norway,NOR,NOK,Europe,1980s,0.6914,2.6172,1.7508,0.7384,1.8698,0.4331,7.4671,3.52,5.95,Low ($0.30–$0.70),62.8,0.2572,0,none,1,18.33,0.1153,0.5761,1.0,124.0,2.5323
1990,Norway,NOR,NOK,Europe,1990s,0.7563,2.8629,1.817,0.7894,1.8965,0.4696,8.168,9.39,6.91,Medium ($0.70–$1.10),62.9,0.2806,0,none,1,23.73,0.1493,0.607,1.0,130.7,2.4024
